109;[105, 110[;[100, 110[;[100, 120[;[80, 120[;[80, 160[;[0, 160[;*
110;[110, 115[;[110, 120[;[100, 120[;[80, 120[;[80, 160[;[0, 160[;*
111;[110, 115[;[110, 120[;[100, 120[;[80, 120[;[80, 160[;[0, 160[;*
112;[110, 115[;[110, 120[;[100, 120[;[80, 120[;[80, 160[;[0, 160[;*
113;[110, 115[;[110, 120[;[100, 120[;[80, 120[;[80, 160[;[0, 160[;*
114;[110, 115[;[110, 120[;[100, 120[;[80, 120[;[80, 160[;[0, 160[;*
115;[115, 120[;[110, 120[;[100, 120[;[80, 120[;[80, 160[;[0, 160[;*
116;[115, 120[;[110, 120[;[100, 120[;[80, 120[;[80, 160[;[0, 160[;*
117;[115, 120[;[110, 120[;[100, 120[;[80, 120[;[80, 160[;[0, 160[;*
118;[115, 120[;[110, 120[;[100, 120[;[80, 120[;[80, 160[;[0, 160[;*
119;[115, 120[;[110, 120[;[100, 120[;[80, 120[;[80, 160[;[0, 160[;*
120;[120, 125[;[120, 130[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;*
121;[120, 125[;[120, 130[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;*
122;[120, 125[;[120, 130[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;*
123;[120, 125[;[120, 130[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;*
124;[120, 125[;[120, 130[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;*
125;[125, 130[;[120, 130[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;*
126;[125, 130[;[120, 130[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;*
127;[125, 130[;[120, 130[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;*
128;[125, 130[;[120, 130[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;*
129;[125, 130[;[120, 130[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;*
130;[130, 135[;[130, 140[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;*
131;[130, 135[;[130, 140[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;*
132;[130, 135[;[130, 140[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;*
133;[130, 135[;[130, 140[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;*
134;[130, 135[;[130, 140[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;*
135;[135, 140[;[130, 140[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;*
136;[135, 140[;[130, 140[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;*
137;[135, 140[;[130, 140[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;*
138;[135, 140[;[130, 140[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;*
139;[135, 140[;[130, 140[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;*
140;[140, 145[;[140, 150[;[140, 160[;[120, 160[;[80, 160[;[0, 160[;*
141;[140, 145[;[140, 150[;[140, 160[;[120, 160[;[80, 160[;[0, 160[;*
142;[140, 145[;[140, 150[;[140, 160[;[120, 160[;[80, 160[;[0, 160[;*
143;[140, 145[;[140, 150[;[140, 160[;[120, 160[;[80, 160[;[0, 160[;*
144;[140, 145[;[140, 150[;[140, 160[;[120, 160[;[80, 160[;[0, 160[;*
145;[145, 150[;[140, 150[;[140, 160[;[120, 160[;[80, 160[;[0, 160[;*
146;[145, 150[;[140, 150[;[140, 160[;[120, 160[;[80, 160[;[0, 160[;*
147;[145, 150[;[140, 150[;[140, 160[;[120, 160[;[80, 160[;[0, 160[;*
148;[145, 150[;[140, 150[;[140, 160[;[120, 160[;[80, 160[;[0, 160[;*
149;[145, 150[;[140, 150[;[140, 160[;[120, 160[;[80, 160[;[0, 160[;*
150;[150, 155[;[150, 160[;[140, 160[;[120, 160[;[80, 160[;[0, 160[;*
151;[150, 155[;[150, 160[;[140, 160[;[120, 160[;[80, 160[;[0, 160[;*
152;[150, 155[;[150, 160[;[140, 160[;[120, 160[;[80, 160[;[0, 160[;*
153;[150, 155[;[150, 160[;[140, 160[;[120, 160[;[80, 160[;[0, 160[;*
154;[150, 155[;[150, 160[;[140, 160[;[120, 160[;[80, 160[;[0, 160[;*
158;[155, 160[;[150, 160[;[140, 160[;[120, 160[;[80, 160[;[0, 160[;*
160;[160, 165[;[160, 170[;[160, 180[;[160, 200[;[160, 240[;[160, 300[;*
161;[160, 165[;[160, 170[;[160, 180[;[160, 200[;[160, 240[;[160, 300[;*
167;[165, 170[;[160, 170[;[160, 180[;[160, 200[;[160, 240[;[160, 300[;*
173;[170, 175[;[170, 180[;[160, 180[;[160, 200[;[160, 240[;[160, 300[;*
175;[175, 180[;[170, 180[;[160, 180[;[160, 200[;[160, 240[;[160, 300[;*
177;[175, 180[;[170, 180[;[160, 180[;[160, 200[;[160, 240[;[160, 300[;*
180;[180, 185[;[180, 190[;[180, 200[;[160, 200[;[160, 240[;[160, 300[;*
181;[180, 185[;[180, 190[;[180, 200[;[160, 200[;[160, 240[;[160, 300[;*
182;[180, 185[;[180, 190[;[180, 200[;[160, 200[;[160, 240[;[160, 300[;*
187;[185, 190[;[180, 190[;[180, 200[;[160, 200[;[160, 240[;[160, 300[;*
212;[210, 215[;[210, 220[;[200, 220[;[200, 240[;[160, 240[;[160, 300[;*
231;[230, 235[;[230, 240[;[220, 240[;[200, 240[;[160, 240[;[160, 300[;*
NULL;NULL;NULL;NULL;NULL;NULL;NULL;*
