15.5;[15.5, 16[;[15, 18.5[;[15, 18.5[;[15, 18.5[;[15, 18.5[;[15, 25[;[15, 30[;*
16.3;[16, 16.5[;[15, 18.5[;[15, 18.5[;[15, 18.5[;[15, 18.5[;[15, 25[;[15, 30[;*
16.9;[16.5, 17[;[15, 18.5[;[15, 18.5[;[15, 18.5[;[15, 18.5[;[15, 25[;[15, 30[;*
17;[17, 17.5[;[15, 18.5[;[15, 18.5[;[15, 18.5[;[15, 18.5[;[15, 25[;[15, 30[;*
17.1;[17, 17.5[;[15, 18.5[;[15, 18.5[;[15, 18.5[;[15, 18.5[;[15, 25[;[15, 30[;*
17.3;[17, 17.5[;[15, 18.5[;[15, 18.5[;[15, 18.5[;[15, 18.5[;[15, 25[;[15, 30[;*
17.5;[17.5, 18[;[15, 18.5[;[15, 18.5[;[15, 18.5[;[15, 18.5[;[15, 25[;[15, 30[;*
17.6;[17.5, 18[;[15, 18.5[;[15, 18.5[;[15, 18.5[;[15, 18.5[;[15, 25[;[15, 30[;*
17.9;[17.5, 18[;[15, 18.5[;[15, 18.5[;[15, 18.5[;[15, 18.5[;[15, 25[;[15, 30[;*
18;[18, 18.5[;[15, 18.5[;[15, 18.5[;[15, 18.5[;[15, 18.5[;[15, 25[;[15, 30[;*
18.1;[18, 18.5[;[15, 18.5[;[15, 18.5[;[15, 18.5[;[15, 18.5[;[15, 25[;[15, 30[;*
18.2;[18, 18.5[;[15, 18.5[;[15, 18.5[;[15, 18.5[;[15, 18.5[;[15, 25[;[15, 30[;*
18.3;[18, 18.5[;[15, 18.5[;[15, 18.5[;[15, 18.5[;[15, 18.5[;[15, 25[;[15, 30[;*
18.4;[18, 18.5[;[15, 18.5[;[15, 18.5[;[15, 18.5[;[15, 18.5[;[15, 25[;[15, 30[;*
18.5;[18.5, 19[;[18.5, 19[;[18.5, 20[;[18.5, 21[;[18.5, 25[;[15, 25[;[15, 30[;*
18.6;[18.5, 19[;[18.5, 19[;[18.5, 20[;[18.5, 21[;[18.5, 25[;[15, 25[;[15, 30[;*
18.7;[18.5, 19[;[18.5, 19[;[18.5, 20[;[18.5, 21[;[18.5, 25[;[15, 25[;[15, 30[;*
18.8;[18.5, 19[;[18.5, 19[;[18.5, 20[;[18.5, 21[;[18.5, 25[;[15, 25[;[15, 30[;*
18.9;[18.5, 19[;[18.5, 19[;[18.5, 20[;[18.5, 21[;[18.5, 25[;[15, 25[;[15, 30[;*
19;[19, 19.5[;[19, 19.5[;[18.5, 20[;[18.5, 21[;[18.5, 25[;[15, 25[;[15, 30[;*
19.1;[19, 19.5[;[19, 19.5[;[18.5, 20[;[18.5, 21[;[18.5, 25[;[15, 25[;[15, 30[;*
19.2;[19, 19.5[;[19, 19.5[;[18.5, 20[;[18.5, 21[;[18.5, 25[;[15, 25[;[15, 30[;*
19.3;[19, 19.5[;[19, 19.5[;[18.5, 20[;[18.5, 21[;[18.5, 25[;[15, 25[;[15, 30[;*
19.4;[19, 19.5[;[19, 19.5[;[18.5, 20[;[18.5, 21[;[18.5, 25[;[15, 25[;[15, 30[;*
19.5;[19.5, 20[;[19.5, 20[;[18.5, 20[;[18.5, 21[;[18.5, 25[;[15, 25[;[15, 30[;*
