109;[100, 110[;[100, 120[;[80, 120[;[80, 160[;[0, 160[;[0, 300[;*
110;[110, 120[;[100, 120[;[80, 120[;[80, 160[;[0, 160[;[0, 300[;*
111;[110, 120[;[100, 120[;[80, 120[;[80, 160[;[0, 160[;[0, 300[;*
112;[110, 120[;[100, 120[;[80, 120[;[80, 160[;[0, 160[;[0, 300[;*
113;[110, 120[;[100, 120[;[80, 120[;[80, 160[;[0, 160[;[0, 300[;*
114;[110, 120[;[100, 120[;[80, 120[;[80, 160[;[0, 160[;[0, 300[;*
115;[110, 120[;[100, 120[;[80, 120[;[80, 160[;[0, 160[;[0, 300[;*
116;[110, 120[;[100, 120[;[80, 120[;[80, 160[;[0, 160[;[0, 300[;*
117;[110, 120[;[100, 120[;[80, 120[;[80, 160[;[0, 160[;[0, 300[;*
118;[110, 120[;[100, 120[;[80, 120[;[80, 160[;[0, 160[;[0, 300[;*
119;[110, 120[;[100, 120[;[80, 120[;[80, 160[;[0, 160[;[0, 300[;*
120;[120, 130[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;[0, 300[;*
121;[120, 130[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;[0, 300[;*
122;[120, 130[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;[0, 300[;*
123;[120, 130[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;[0, 300[;*
124;[120, 130[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;[0, 300[;*
125;[120, 130[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;[0, 300[;*
126;[120, 130[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;[0, 300[;*
127;[120, 130[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;[0, 300[;*
128;[120, 130[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;[0, 300[;*
129;[120, 130[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;[0, 300[;*
130;[130, 140[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;[0, 300[;*
131;[130, 140[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;[0, 300[;*
132;[130, 140[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;[0, 300[;*
133;[130, 140[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;[0, 300[;*
134;[130, 140[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;[0, 300[;*
135;[130, 140[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;[0, 300[;*
136;[130, 140[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;[0, 300[;*
137;[130, 140[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;[0, 300[;*
138;[130, 140[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;[0, 300[;*
139;[130, 140[;[120, 140[;[120, 160[;[80, 160[;[0, 160[;[0, 300[;*
140;[140, 150[;[140, 160[;[120, 160[;[80, 160[;[0, 160[;[0, 300[;*
141;[140, 150[;[140, 160[;[120, 160[;[80, 160[;[0, 160[;[0, 300[;*
142;[140, 150[;[140, 160[;[120, 160[;[80, 160[;[0, 160[;[0, 300[;*
143;[140, 150[;[140, 160[;[120, 160[;[80, 160[;[0, 160[;[0, 300[;*
144;[140, 150[;[140, 160[;[120, 160[;[80, 160[;[0, 160[;[0, 300[;*
145;[140, 150[;[140, 160[;[120, 160[;[80, 160[;[0, 160[;[0, 300[;*
146;[140, 150[;[140, 160[;[120, 160[;[80, 160[;[0, 160[;[0, 300[;*
147;[140, 150[;[140, 160[;[120, 160[;[80, 160[;[0, 160[;[0, 300[;*
148;[140, 150[;[140, 160[;[120, 160[;[80, 160[;[0, 160[;[0, 300[;*
149;[140, 150[;[140, 160[;[120, 160[;[80, 160[;[0, 160[;[0, 300[;*
150;[150, 160[;[140, 160[;[120, 160[;[80, 160[;[0, 160[;[0, 300[;*
151;[150, 160[;[140, 160[;[120, 160[;[80, 160[;[0, 160[;[0, 300[;*
152;[150, 160[;[140, 160[;[120, 160[;[80, 160[;[0, 160[;[0, 300[;*
153;[150, 160[;[140, 160[;[120, 160[;[80, 160[;[0, 160[;[0, 300[;*
154;[150, 160[;[140, 160[;[120, 160[;[80, 160[;[0, 160[;[0, 300[;*
158;[150, 160[;[140, 160[;[120, 160[;[80, 160[;[0, 160[;[0, 300[;*
160;[160, 170[;[160, 180[;[160, 200[;[160, 240[;[160, 300[;[0, 300[;*
161;[160, 170[;[160, 180[;[160, 200[;[160, 240[;[160, 300[;[0, 300[;*
167;[160, 170[;[160, 180[;[160, 200[;[160, 240[;[160, 300[;[0, 300[;*
173;[170, 180[;[160, 180[;[160, 200[;[160, 240[;[160, 300[;[0, 300[;*
175;[170, 180[;[160, 180[;[160, 200[;[160, 240[;[160, 300[;[0, 300[;*
177;[170, 180[;[160, 180[;[160, 200[;[160, 240[;[160, 300[;[0, 300[;*
180;[180, 190[;[180, 200[;[160, 200[;[160, 240[;[160, 300[;[0, 300[;*
181;[180, 190[;[180, 200[;[160, 200[;[160, 240[;[160, 300[;[0, 300[;*
182;[180, 190[;[180, 200[;[160, 200[;[160, 240[;[160, 300[;[0, 300[;*
187;[180, 190[;[180, 200[;[160, 200[;[160, 240[;[160, 300[;[0, 300[;*
212;[210, 220[;[200, 220[;[200, 240[;[160, 240[;[160, 300[;[0, 300[;*
231;[230, 240[;[220, 240[;[200, 240[;[160, 240[;[160, 300[;[0, 300[;*
NULL;NULL;NULL;NULL;NULL;NULL;NULL;*
