18;[18, 20[;[18, 20[;[18, 20[;[18, 40[;[18, 80[
19;[18, 20[;[18, 20[;[18, 20[;[18, 40[;[18, 80[
20;[20, 25[;[20, 30[;[20, 40[;[18, 40[;[18, 80[
21;[20, 25[;[20, 30[;[20, 40[;[18, 40[;[18, 80[
22;[20, 25[;[20, 30[;[20, 40[;[18, 40[;[18, 80[
23;[20, 25[;[20, 30[;[20, 40[;[18, 40[;[18, 80[
24;[20, 25[;[20, 30[;[20, 40[;[18, 40[;[18, 80[
25;[25, 30[;[20, 30[;[20, 40[;[18, 40[;[18, 80[
26;[25, 30[;[20, 30[;[20, 40[;[18, 40[;[18, 80[
27;[25, 30[;[20, 30[;[20, 40[;[18, 40[;[18, 80[
28;[25, 30[;[20, 30[;[20, 40[;[18, 40[;[18, 80[
29;[25, 30[;[20, 30[;[20, 40[;[18, 40[;[18, 80[
30;[30, 35[;[30, 40[;[20, 40[;[18, 40[;[18, 80[
31;[30, 35[;[30, 40[;[20, 40[;[18, 40[;[18, 80[
32;[30, 35[;[30, 40[;[20, 40[;[18, 40[;[18, 80[
33;[30, 35[;[30, 40[;[20, 40[;[18, 40[;[18, 80[
34;[30, 35[;[30, 40[;[20, 40[;[18, 40[;[18, 80[
35;[35, 40[;[30, 40[;[20, 40[;[18, 40[;[18, 80[
36;[35, 40[;[30, 40[;[20, 40[;[18, 40[;[18, 80[
37;[35, 40[;[30, 40[;[20, 40[;[18, 40[;[18, 80[
38;[35, 40[;[30, 40[;[20, 40[;[18, 40[;[18, 80[
39;[35, 40[;[30, 40[;[20, 40[;[18, 40[;[18, 80[
40;[40, 45[;[40, 50[;[40, 60[;[40, 80[;[18, 80[
41;[40, 45[;[40, 50[;[40, 60[;[40, 80[;[18, 80[
42;[40, 45[;[40, 50[;[40, 60[;[40, 80[;[18, 80[
43;[40, 45[;[40, 50[;[40, 60[;[40, 80[;[18, 80[
44;[40, 45[;[40, 50[;[40, 60[;[40, 80[;[18, 80[
45;[45, 50[;[40, 50[;[40, 60[;[40, 80[;[18, 80[
46;[45, 50[;[40, 50[;[40, 60[;[40, 80[;[18, 80[
47;[45, 50[;[40, 50[;[40, 60[;[40, 80[;[18, 80[
48;[45, 50[;[40, 50[;[40, 60[;[40, 80[;[18, 80[
49;[45, 50[;[40, 50[;[40, 60[;[40, 80[;[18, 80[
50;[50, 55[;[50, 60[;[40, 60[;[40, 80[;[18, 80[
51;[50, 55[;[50, 60[;[40, 60[;[40, 80[;[18, 80[
52;[50, 55[;[50, 60[;[40, 60[;[40, 80[;[18, 80[
53;[50, 55[;[50, 60[;[40, 60[;[40, 80[;[18, 80[
54;[50, 55[;[50, 60[;[40, 60[;[40, 80[;[18, 80[
55;[55, 60[;[50, 60[;[40, 60[;[40, 80[;[18, 80[
56;[55, 60[;[50, 60[;[40, 60[;[40, 80[;[18, 80[
57;[55, 60[;[50, 60[;[40, 60[;[40, 80[;[18, 80[
58;[55, 60[;[50, 60[;[40, 60[;[40, 80[;[18, 80[
59;[55, 60[;[50, 60[;[40, 60[;[40, 80[;[18, 80[
60;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[18, 80[
61;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[18, 80[
62;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[18, 80[
63;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[18, 80[
64;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[18, 80[
65;[65, 70[;[60, 70[;[60, 80[;[40, 80[;[18, 80[
66;[65, 70[;[60, 70[;[60, 80[;[40, 80[;[18, 80[
67;[65, 70[;[60, 70[;[60, 80[;[40, 80[;[18, 80[
68;[65, 70[;[60, 70[;[60, 80[;[40, 80[;[18, 80[
69;[65, 70[;[60, 70[;[60, 80[;[40, 80[;[18, 80[
70;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[18, 80[
71;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[18, 80[
72;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[18, 80[
73;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[18, 80[
74;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[18, 80[
75;[75, 80[;[70, 80[;[60, 80[;[40, 80[;[18, 80[
76;[75, 80[;[70, 80[;[60, 80[;[40, 80[;[18, 80[
