133;[130, 135[;[130, 140[;[120, 140[;[120, 160[;[80, 160[;[35, 160[;*
134;[130, 135[;[130, 140[;[120, 140[;[120, 160[;[80, 160[;[35, 160[;*
135;[135, 140[;[130, 140[;[120, 140[;[120, 160[;[80, 160[;[35, 160[;*
136;[135, 140[;[130, 140[;[120, 140[;[120, 160[;[80, 160[;[35, 160[;*
137;[135, 140[;[130, 140[;[120, 140[;[120, 160[;[80, 160[;[35, 160[;*
138;[135, 140[;[130, 140[;[120, 140[;[120, 160[;[80, 160[;[35, 160[;*
139;[135, 140[;[130, 140[;[120, 140[;[120, 160[;[80, 160[;[35, 160[;*
140;[140, 145[;[140, 150[;[140, 160[;[120, 160[;[80, 160[;[35, 160[;*
141;[140, 145[;[140, 150[;[140, 160[;[120, 160[;[80, 160[;[35, 160[;*
142;[140, 145[;[140, 150[;[140, 160[;[120, 160[;[80, 160[;[35, 160[;*
143;[140, 145[;[140, 150[;[140, 160[;[120, 160[;[80, 160[;[35, 160[;*
144;[140, 145[;[140, 150[;[140, 160[;[120, 160[;[80, 160[;[35, 160[;*
145;[145, 150[;[140, 150[;[140, 160[;[120, 160[;[80, 160[;[35, 160[;*
146;[145, 150[;[140, 150[;[140, 160[;[120, 160[;[80, 160[;[35, 160[;*
147;[145, 150[;[140, 150[;[140, 160[;[120, 160[;[80, 160[;[35, 160[;*
148;[145, 150[;[140, 150[;[140, 160[;[120, 160[;[80, 160[;[35, 160[;*
149;[145, 150[;[140, 150[;[140, 160[;[120, 160[;[80, 160[;[35, 160[;*
150;[150, 155[;[150, 160[;[140, 160[;[120, 160[;[80, 160[;[35, 160[;*
151;[150, 155[;[150, 160[;[140, 160[;[120, 160[;[80, 160[;[35, 160[;*
152;[150, 155[;[150, 160[;[140, 160[;[120, 160[;[80, 160[;[35, 160[;*
153;[150, 155[;[150, 160[;[140, 160[;[120, 160[;[80, 160[;[35, 160[;*
154;[150, 155[;[150, 160[;[140, 160[;[120, 160[;[80, 160[;[35, 160[;*
158;[155, 160[;[150, 160[;[140, 160[;[120, 160[;[80, 160[;[35, 160[;*
160;[160, 165[;[160, 170[;[160, 180[;[160, 200[;[160, 235[;[160, 235[;*
161;[160, 165[;[160, 170[;[160, 180[;[160, 200[;[160, 235[;[160, 235[;*
167;[165, 170[;[160, 170[;[160, 180[;[160, 200[;[160, 235[;[160, 235[;*
173;[170, 175[;[170, 180[;[160, 180[;[160, 200[;[160, 235[;[160, 235[;*
175;[175, 180[;[170, 180[;[160, 180[;[160, 200[;[160, 235[;[160, 235[;*
177;[175, 180[;[170, 180[;[160, 180[;[160, 200[;[160, 235[;[160, 235[;*
180;[180, 185[;[180, 190[;[180, 200[;[160, 200[;[160, 235[;[160, 235[;*
181;[180, 185[;[180, 190[;[180, 200[;[160, 200[;[160, 235[;[160, 235[;*
182;[180, 185[;[180, 190[;[180, 200[;[160, 200[;[160, 235[;[160, 235[;*
187;[185, 190[;[180, 190[;[180, 200[;[160, 200[;[160, 235[;[160, 235[;*
212;[210, 215[;[210, 220[;[200, 220[;[200, 235[;[160, 235[;[160, 235[;*
231;[230, 235[;[230, 235[;[220, 235[;[200, 235[;[160, 235[;[160, 235[;*
NULL;NULL;NULL;NULL;NULL;NULL;NULL;*
